,Município,<1 Ano,1-4,5-9,10-14,15-19,20-34,35-49,50-64,65-79,80 e+,Codigo
308,Presidente Tancredo Neves,0,1,1,3,5,18,12,5,0,0,292575
309,Queimadas,0,0,2,2,1,9,1,1,0,0,292580
310,Quijingue,1,8,3,10,10,34,38,26,12,2,292590
311,Quixabeira,1,0,4,18,15,35,40,39,22,3,292593
312,Rafael Jambeiro,2,3,3,6,9,14,16,7,9,2,292595
313,Remanso,1,1,0,3,4,14,15,9,5,1,292600
314,Retirolândia,3,1,7,4,6,12,12,4,2,0,292610
315,Riachão das Neves,4,3,6,6,7,36,17,9,0,0,292620
316,Riachão do Jacuípe,4,5,9,10,19,52,49,26,11,5,292630
317,Riacho de Santana,4,2,1,6,10,21,33,14,2,1,292640
318,Ribeira do Amparo,0,0,0,0,0,0,1,0,0,0,292650
319,Ribeira do Pombal,12,29,43,34,43,110,72,50,22,6,292660
320,Ribeirão do Largo,1,4,1,10,10,25,19,5,1,0,292665
321,Rio de Contas,0,0,0,0,1,7,11,1,2,0,292670
322,Rio do Antônio,1,0,10,11,19,41,43,42,16,4,292680
323,Rio do Pires,3,4,10,10,9,26,22,27,10,8,292690
324,Rio Real,14,19,40,33,44,124,93,50,20,2,292700
325,Rodelas,1,0,0,1,1,3,0,2,0,0,292710
326,Ruy Barbosa,1,8,1,3,6,14,10,6,1,0,292720
327,Salinas da Margarida,1,0,1,0,0,0,1,0,1,0,292730
328,Salvador,220,386,804,857,858,0,0,0,558,116,292740
329,Santa Bárbara,0,0,4,11,10,23,18,4,4,1,292750
330,Santa Brígida,0,0,0,1,1,1,4,1,0,0,292760
331,Santa Cruz Cabrália,4,10,13,17,15,59,44,11,4,1,292770
332,Santa Inês,1,0,0,2,4,4,2,0,0,0,292790
333,Santa Luzia,2,3,2,12,9,14,10,7,3,0,292805
334,Santa Maria da Vitória,10,18,27,37,53,110,69,33,6,4,292810
335,Santa Rita de Cássia,3,3,13,18,23,107,66,44,25,4,292840
336,Santa Teresinha,1,1,8,8,13,28,18,16,11,3,292850
337,Santaluz,16,18,52,55,39,105,83,31,20,5,292800
338,Santana,0,1,1,3,0,7,8,2,2,0,292820
339,Santanópolis,0,0,2,8,11,23,31,11,3,5,292830
